genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Adventure, History",no,"DK, DE, NO, SE, GB",2012-08-24,118,Kon-Tiki,"Stunt Bros, Recorded Picture Company, Roenbergfilm, DCM Pictures, Film i Väst, Nordisk Film Denmark",2012,>2010
"Drama, Mystery, Thriller",en,"IT, US",2001-11-07,137,Gosford Park,"Sandcastle 5, Chicagofilms, Medusa Film",2001,2000-2010
"Action, Adventure, Science Fiction",ja,JP,1991-12-14,103,Godzilla vs. King Ghidorah,Toho Pictures,1991,1990-2000
"Comedy, Crime",en,US,1963-12-18,115,The Pink Panther,"United Artists, The Mirisch Company",1963,1950-1970
"Animation, Family, Adventure, Action, Comedy",en,US,2016-06-21,78,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,"Warner Bros. Animation, DC Entertainment, DC Comics, LEGO",2016,>2010
Drama,no,"NO, IE, SE",2013-09-19,111,A Thousand Times Good Night,"Paradox Spillefilm, Newgrange Pictures, Zentropa International Sweden",2013,>2010
"Thriller, Horror, Mystery",ja,JP,2011-01-21,145,Guilty of Romance,"Nikkatsu Corporation, Django Films",2011,>2010
"Crime, Drama, Mystery",en,US,1950-04-21,83,D.O.A.,"Cardinal Pictures, Harry Popkin Productions, United Artists",1950,1950-1970
"Animation, Action, Science Fiction",ja,JP,1986-03-08,110,Fist of the North Star,"Shueisha, Toei Animation",1986,1970-1990
"Comedy, Adventure",en,US,1917-10-22,26,The Adventurer,Lone Star Corporation,1917,<1950
"Action, Western",en,US,1966-06-10,128,Nevada Smith,"Solar Productions, Paramount",1966,1950-1970
"War, Action, Drama",no,"NO, SE",2012-03-09,104,Into the White,"Zentropa International Sweden, Trollhättan Film, Eurimages, FilmFondet Fuzz, Zentropa International Norway, Film i Väst, FFA, Medienboard Berlin-Brandenburg",2012,>2010
Drama,en,"GB, US",1995-06-23,119,Safe,"American Playhouse, Killer Films, Chemical Films, Kardana Films, Good Machine, Channel Four Films, Arnold Semler",1995,1990-2000
"Drama, History, War",en,"CN, FR, DE",2009-04-02,134,John Rabe,"EOS Entertainment, Pampa Production, Hofmann & Voges Entertainment, ZDF, Majestic Filmproduktion, Huayi Brothers Media Corporation",2009,2000-2010
"Horror, Thriller",ru,RU,2021-03-11,90,The Ex,"KARO-Production, Force Media",2021,>2010
Drama,fr,FR,2016-02-27,116,Being 17,"Wild Bunch, Fidélité Films, France 2 Cinéma",2016,>2010
Drama,no,"NO, SE",2016-08-26,126,The Lion Woman,"Filmkameratene, Tre Vänner",2016,>2010
"Family, Adventure",fr,FR,2015-12-08,97,Belle and Sebastian: The Adventure Continues,"Epithète Films, Radar Films, Gaumont",2015,>2010
"Drama, Horror, Thriller",en,US,1978-11-08,107,Magic,"Joseph E. Levine Productions, 20th Century Fox",1978,1970-1990
"Drama, Crime",it,IT,2019-02-14,111,Piranhas,"Palomar, Vision Distribution, Sky Cinema, TIMVision, Elle Driver",2019,>2010
"Animation, Family, Comedy",en,US,2016-01-05,23,Kung Fu Panda: Secrets of the Scroll,DreamWorks Animation,2016,>2010
Drama,en,"AU, DE",2017-05-10,98,Manifesto,"BR, Schiwago Film",2017,>2010
"Drama, Comedy",nl,BE,2011-09-02,115,Come As You Are,"Fobic Films, K 2, Eén",2011,>2010
"Drama, Comedy",en,"AE, GB, US",2011-11-28,124,The Best Exotic Marigold Hotel,"Participant, Imagenation Abu Dhabi FZ",2011,>2010
"Drama, History, War",en,US,1993-10-08,254,Gettysburg,"TriStar Television, Esparza / Katz Productions, New Line Cinema, Turner Pictures (I)",1993,1990-2000
"Comedy, Drama",en,US,1945-12-27,126,The Bells of St. Mary's,"Republic Pictures, RKO Radio Pictures, Rainbow Productions",1945,<1950
"Fantasy, Adventure, Comedy",ru,RU,2021-01-01,120,The Last Warrior: Root of Evil,"Yellow, Black & White, The Walt Disney Company CIS, Cinema Fund, Russia-1",2021,>2010
Drama,en,US,2011-12-27,86,Pariah,"NorthStar Pictures, Sundial Pictures, Aid + Abet, Focus Features",2011,>2010
"Comedy, Romance, Drama",en,CA,2012-09-11,98,My Awkward Sexual Adventure,Banana-Moon Sky Films,2012,>2010
"Animation, Action, Fantasy, Drama, Romance",ja,JP,2019-01-12,117,Fate/stay night: Heaven's Feel II. Lost Butterfly,"ufotable, Aniplex, Notes, STUDIO MAUSU, KADOKAWA",2019,>2010
"Thriller, Action, Comedy, Crime",no,"DK, NO, SE",2014-02-21,115,In Order of Disappearance,"Zentropa Entertainments, Paradox Produksjon, Det Danske Filminstitut, Film i Väst",2014,>2010
"Drama, Thriller, Crime, Western",en,"CA, US",2020-11-05,114,Let Him Go,"Mazur / Kaplan Company, Focus Features",2020,>2010
"Drama, Romance",en,GB,1971-06-16,116,The Go-Between,EMI Films,1971,1970-1990
Drama,ca,ES,2022-04-29,120,Alcarràs,"Avalon, Vilaüt Films, Kino Produzioni",2022,>2010
Comedy,fr,FR,1963-11-20,86,Pouic-Pouic,,1963,1950-1970
"Drama, Romance, Thriller",he,IL,2012-09-09,96,Out in the Dark,"M7200 Productions, Periscope Productions",2012,>2010
"Family, Animation, Comedy, TV Movie",en,US,2012-12-06,23,It's a SpongeBob Christmas!,"Nickelodeon Animation Studio, Screen Novelties",2012,>2010
"Animation, Horror, Adventure, Action, Science Fiction",ja,"JP, US",2017-05-27,97,Resident Evil: Vendetta,"CAPCOM, Stage 6 Films, Marza Animation Planet, KADOKAWA",2017,>2010
Horror,en,US,1987-10-02,94,Near Dark,"DEG, F/M, Near Dark Joint Venture",1987,1970-1990
"Animation, Romance, Drama",zh,"CN, JP",2018-08-04,74,Flavors of Youth,"CoMix Wave Films, Haoliners Animation",2018,>2010
"Science Fiction, Adventure",en,US,1978-09-16,125,Battlestar Galactica,"Glen A. Larson Productions, Universal Television",1978,1970-1990
Horror,es,"AR, UY",2022-04-21,90,Virus:32,"Latido Films, Aeroplano Cine, Mother Superior",2022,>2010
"Drama, Romance, History",fr,FR,1971-11-18,130,Two English Girls,"Cinétel, Les Films du Carrosse",1971,1970-1990
Drama,fr,"FR, IT",1974-10-23,113,"Vincent, Francois, Paul and the Others","President Produzioni, Lira Films",1974,1970-1990
"Horror, Comedy",en,US,1982-11-12,120,Creepshow,"Creepshow Films Inc., Warner Bros. Pictures, Laurel Entertainment, United Film Distribution Company (UFDC)",1982,1970-1990
"Action, Thriller, Crime",en,"FR, GB, US",1998-09-25,122,Ronin,"United Artists, FGM Entertainment",1998,1990-2000
Thriller,en,US,2015-07-17,122,The Stanford Prison Experiment,"Abandon Pictures, ""Coup dEtat Films"", Sandbar Pictures",2015,>2010
"Family, Animation, Comedy, Action, Adventure",en,US,2005-10-11,75,Tom and Jerry: The Fast and the Furry,"Warner Bros. Animation, Turner Entertainment",2005,2000-2010
"Romance, Comedy",it,IT,1955-12-22,106,Scandal in Sorrento,Titanus,1955,1950-1970
"Mystery, Thriller",en,US,2013-01-29,100,Odd Thomas,"Future Films, Fusion Films, Sommers Company, The",2013,>2010
"Drama, Mystery, Romance, Thriller",en,US,2004-09-03,114,Wicker Park,"""Mels Cite du Cinema"", Lakeshore Entertainment, Metro-Goldwyn-Mayer",2004,2000-2010
"Drama, Fantasy, Romance",es,CO,2013-11-10,88,The Firefly,iAMredHam,2013,>2010
"Animation, TV Movie",en,US,2021-12-02,47,Mickey and Minnie Wish Upon a Christmas,Disney Television Animation,2021,>2010
"Action, Comedy",cn,HK,1994-10-13,84,From Beijing with Love,"""Wins Movie Production Limited""",1994,1990-2000
"Comedy, Drama",en,US,2015-07-10,87,Tangerine,"Through Films, Duplass Brothers Productions",2015,>2010
"Animation, Family, Adventure",en,US,2011-04-06,63,Winnie the Pooh,"Walt Disney Animation Studios, Walt Disney Pictures",2011,>2010
"Family, Fantasy, Comedy",en,US,2020-08-14,100,Magic Camp,"Team Todd, Gunn Films, Walt Disney Pictures",2020,>2010
"Animation, Adventure, Comedy, Family",en,US,2022-09-27,48,Minions & More 1,Illumination,2022,>2010
"Fantasy, Family, Adventure, Action, Comedy",ru,RU,2017-10-19,120,The Last Warrior,"The Walt Disney Company CIS, Walt Disney Pictures",2017,>2010
"Adventure, Drama, Family, Western",en,US,1957-12-25,84,Old Yeller,Walt Disney Productions,1957,1950-1970
"Romance, Drama, Fantasy",en,US,2020-04-09,95,Endless,"Ingenious Media, Summerstorm Entertainment, Thunder Road, Film House Germany, Minds Eye Entertainment, Rapid Farms Productions",2020,>2010
"Adventure, Drama",de,"BR, CO, DE, GH",1987-12-03,111,Cobra Verde,"Werner Herzog Filmproduktion, ZDF, Ghana Film Industry Corporation",1987,1970-1990
"Action, History, Horror",ko,KR,2004-08-13,107,R-Point,"C&Film, Cinema Service",2004,2000-2010
"Drama, History, Romance",fr,FR,1975-10-08,96,The Story of Adele H.,"Les Films du Carrosse, Les Productions Artistes Associés",1975,1970-1990
"Comedy, Drama, Romance, Science Fiction",en,GB,2009-04-24,83,Frequently Asked Questions About Time Travel,"BBC Film, Dog Lamp Films, HBO Films",2009,2000-2010
"Drama, Romance",ja,JP,2018-09-01,119,Asako I & II,"C&I entertainment, Nagoya Broadcasting Network, Bitters End, Comme des Cinémas",2018,>2010
"Animation, Adventure, Family, Fantasy, Comedy, Action",en,US,2013-03-15,98,The Croods,"DreamWorks Animation, 20th Century Fox",2013,>2010
"Action, Comedy",it,IT,1977-04-01,110,Crime Busters,"Tritone Cinematografica, T.O.T.A.",1977,1970-1990
"Comedy, Drama, Romance",fr,FR,1990-10-03,82,The Hairdresser's Husband,"Lambart Productions, TF1 Films Production, CNC, Investimage 2, Investimage 3",1990,1990-2000
"Comedy, Drama",en,US,2011-04-22,106,Madea's Big Happy Family,Lions Gate Films,2011,>2010
"Comedy, Drama",fr,FR,1933-04-07,49,Zero for Conduct,"Franfilmdis, Argui-Film",1933,<1950
"Drama, Fantasy, Horror",ru,SU,1967-11-27,77,Viy,"Luch, Mosfilm",1967,1950-1970
"Family, Animation, Comedy",en,US,1969-12-04,86,A Boy Named Charlie Brown,"United Feature Syndicate (UFS), Cinema Center Films, Lee Mendelson Film Productions, Bill Melendez Productions",1969,1950-1970
Horror,en,GB,1972-03-09,92,Tales from the Crypt,"Amicus Productions, Metromedia Producers Corporation",1972,1970-1990
Action,en,US,2018-11-02,85,The Marine 6: Close Quarters,"Fiction Films, WWE Studios",2018,>2010
"Drama, Romance",en,"GR, GB, US",2020-09-11,116,Monday,"Faliro House Productions, Automatik Entertainment, Protagonist Pictures, Oxymoron Films, DJ Films, Blonde Audiovisual Productions, Wishmore, Cosmote TV",2020,>2010
"Comedy, Family",en,US,2008-11-08,99,iCarly: iGo to Japan,"Nickelodeon Productions, Schneiders Bakery",2008,2000-2010
"Thriller, Mystery, Science Fiction",en,US,2022-09-21,123,Don't Worry Darling,"Vertigo Entertainment, New Line Cinema, Warner Bros. Pictures",2022,>2010
"Comedy, Drama",it,"FR, IT, CH, GB",2015-05-20,125,Youth,"Indigo Film, Pathé, France 2 Cinéma, Number 9 Films, Medusa Film, C-Films, Barbary Films, Eurimages, Fox Searchlight Pictures",2015,>2010
"Comedy, Romance",it,IT,1996-12-20,89,Il ciclone,Cecchi Gori Group Tiger Cinematografica,1996,1990-2000
"Drama, Action, Comedy, Romance",hi,IN,2007-12-21,160,Welcome,A.G. Films,2007,2000-2010
"Romance, Drama",fr,"FR, IT",1961-09-21,117,"Léon Morin, Priest","Rome Paris Films, Concordia Compagnia Cinematografica",1961,1950-1970
Drama,en,"US, GB",2006-09-16,117,Amazing Grace,"Samuel Goldwyn Films, Roadside Attractions, Bristol Bay Productions",2006,2000-2010
Comedy,es,MX,2007-03-09,102,Charm School,Columbia Pictures Producciones Mexico,2007,2000-2010
Comedy,en,US,2006-07-21,97,Clerks II,"View Askew Productions, The Weinstein Company",2006,2000-2010
"Drama, Action",ko,KR,2012-10-11,96,A Company Man,Showbox,2012,>2010
"Mystery, Horror, Crime, Thriller",en,US,1980-07-25,105,Dressed to Kill,"Filmways Pictures, Cinema 77 Films",1980,1970-1990
"Comedy, Drama, Romance",en,US,1933-03-11,89,42nd Street,Warner Bros. Pictures,1933,<1950
"Comedy, Drama",en,US,1983-09-30,105,The Big Chill,Columbia Pictures,1983,1970-1990
"Drama, Action, Crime, Thriller",en,"BG, US",2019-05-09,93,We Die Young,"Dream Team Films, Premiere Picture, Signature Pictures, Dog with a Bone Productions, Zone Vision",2019,>2010
Drama,en,US,1982-05-28,99,Rocky III,"Winkler Films, United Artists",1982,1970-1990
Drama,it,IT,1991-11-15,93,The Raffle,Artisti Associati,1991,1990-2000
Comedy,it,IT,2016-11-23,90,How to Grow Up Despite Your Parents,,2016,>2010
"Animation, Fantasy, Horror, Science Fiction",en,US,2022-06-16,84,Mad God,Tippett Studio,2022,>2010
"Drama, History",en,"GB, US",2017-09-13,112,Victoria & Abdul,"Working Title Films, BBC Film, Perfect World Pictures, Cross Street Films",2017,>2010
"Comedy, Animation, Family",en,"FR, GB",2019-09-26,87,A Shaun the Sheep Movie: Farmageddon,"StudioCanal, Aardman, Anton Capital Entertainment (ACE)",2019,>2010
"Romance, Comedy",de,DE,2010-09-15,103,Single By Contract,"Sat.1, SamFilm",2010,>2010
"Comedy, Drama, Romance",en,US,1942-02-05,114,Woman of the Year,Metro-Goldwyn-Mayer,1942,<1950
Comedy,es,ES,1989-01-17,110,"Dawn Breaks, Which Is No Small Thing","Paraíso, Compañía de Aventuras Comerciales, TVE",1989,1970-1990
"Drama, Comedy",fr,FR,2010-06-02,82,My Afternoons with Margueritte,ICE3,2010,>2010
"Animation, Comedy",en,US,1939-04-07,9,The Ugly Duckling,Walt Disney Productions,1939,<1950
"Animation, Mystery",ja,JP,2005-04-09,110,Detective Conan: Strategy Above the Depths,"TMS Entertainment, TOHO",2005,2000-2010
"Animation, Mystery",ja,JP,2004-04-17,110,Detective Conan: Magician of the Silver Sky,"TMS Entertainment, TOHO",2004,2000-2010
Horror,es,MX,2022-09-07,0,Presences,Videocine S.A. de C.V.,2022,>2010
"Comedy, Crime, Action",it,IT,1978-10-28,110,Odds and Evens,Derby Cinematografica,1978,1970-1990
"Crime, Drama, Action",en,US,1974-07-24,93,Death Wish,"Landers-Roberts Productions, Dino De Laurentiis Company, Scimitar Films",1974,1970-1990
"Romance, Comedy",ko,KR,2022-02-11,118,Love and Leashes,See At Film,2022,>2010
"Adventure, Fantasy, Horror, Comedy, Family, Mystery",en,"GB, US",1990-05-25,91,The Witches,"Lorimar Film Entertainment, The Jim Henson Company, Warner Bros. Pictures",1990,1990-2000
"Animation, Family, Comedy, Fantasy",en,US,2020-10-23,7,Once Upon a Snowman,Walt Disney Animation Studios,2020,>2010
Drama,en,US,2014-02-28,138,Son of God,"Hearst Entertainment Productions, LightWorkers Media, 20th Century Fox",2014,>2010
"Drama, Romance",en,US,1923-10-01,78,A Woman of Paris: A Drama of Fate,"Charles Chaplin Productions, Regent, United Artists",1923,<1950
"Drama, Mystery, Thriller",en,US,1997-12-03,110,The Spanish Prisoner,"Sweetland Films, Jean Doumanian Productions, Magnolia Films, Jasmine Productions Inc.",1997,1990-2000
"Animation, Adventure, Comedy, Family",en,US,2002-10-21,4,Gone Nutty,"Blue Sky Studios, 20th Century Fox",2002,2000-2010
"Crime, Drama, Romance, Thriller",en,GB,1986-06-13,105,Mona Lisa,"HandMade Films, Palace Productions",1986,1970-1990
"Comedy, Romance",en,US,1932-08-19,68,Horse Feathers,Paramount,1932,<1950
"Drama, History, War",de,"DE, FR, PL",1979-05-02,162,The Tin Drum,"Jadran Film, Artemis Film, Franz Seitz Filmproduktion, Argos Films, Film Polski, Hallelujah Films, GGB-14, Neue Bioskop Film, Auditrust",1979,1970-1990
"Action, Comedy, Crime",ko,KR,2015-08-05,119,Veteran,"Filmmaker R&K, Froniter Works Comic, Stone Comics Entertainment, CJ Entertainment, filmK",2015,>2010
"Drama, Thriller",en,US,2001-11-23,130,In the Bedroom,"GreeneStreet/SKE Films, Good Machine",2001,2000-2010
"Music, Comedy",en,US,1931-09-19,77,Monkey Business,Paramount,1931,<1950
"Drama, Crime",uk,"NL, UA",2014-09-11,130,The Tribe,"Hubert Bals Fund, Ukrainian State Film Agency",2014,>2010
"Romance, Comedy, Fantasy",en,AU,2021-02-11,90,Long Story Short,"Screen Australia, Spectrum Films, Screen NSW, See Pictures, StudioCanal",2021,>2010
Drama,fr,"IT, BE, FR",2014-05-21,95,"Two Days, One Night","Media Programme of the European Community, Les Films du Fleuve, Archipel 33>35, BIM Distribuzione, Eyeworks, Belgacom, VOO, Vlaams Audiovisueel fonds, Euro-Images, Ciné+, Canal+, France 2 Cinéma, RTBF",2014,>2010
"Horror, Fantasy, Mystery",en,US,2021-07-28,111,The Cursed,"Piste Rouge, LD Entertainment",2021,>2010
"Drama, Romance",en,GB,1993-12-25,131,Shadowlands,"Savoy Pictures, Shadowlands Productions, Price Entertainment, Spelling Films International",1993,1990-2000
"Action, Adventure, Comedy, Crime",cn,HK,1983-07-07,108,Winners & Sinners,"Orange Sky Golden Harvest, Paragon Films Ltd.",1983,1970-1990
"Adventure, Drama, War",en,US,2006-09-09,120,Rescue Dawn,Metro-Goldwyn-Mayer,2006,2000-2010
"Drama, Fantasy, Romance",de,DE,1993-09-01,146,"Faraway, So Close!","Tobis, Road Movies",1993,1990-2000
"Animation, Family, Comedy",en,US,2007-10-02,46,Tom and Jerry: A Nutcracker Tale,"Turner Entertainment, Warner Bros. Animation",2007,2000-2010
Drama,en,"US, GB",2012-11-09,103,Starlet,"Cunningham & Maybach Films, Maybach Film Productions, Cre Film, Freestyle Picture Company, Mangusta Productions",2012,>2010
"Comedy, Animation, Family",en,US,2015-11-01,88,The Peanuts Movie,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",2015,>2010
"Crime, Drama",tn,"ZA, GB",2005-12-23,94,Tsotsi,"Movieworld Productions, UK Film & TV Production Company, National Film & Video Foundation of South Africa",2005,2000-2010
"Action, History",zh,"CN, HK, KR",2007-10-09,123,Assembly,"Huayi Brothers Media Corporation, Media Asia Films, Shanghai Film Group, MK Pictures, China Film Co-Production Corporation",2007,2000-2010
"Drama, Romance, Adventure, Western, Family",en,AU,1982-03-25,104,The Man from Snowy River,"Cambridge Productions, Michael Edgley International, Snowy River Investment Pty. Ltd.",1982,1970-1990
"Drama, Comedy",en,US,1996-05-11,95,Trees Lounge,"Addis Wechsler Pictures, Muse Productions",1996,1990-2000
"Drama, Music, Romance",en,US,2009-12-16,112,Crazy Heart,"Fox Searchlight Pictures, Informant Media, ""Butchers Run Films""",2009,2000-2010
Comedy,en,US,1946-05-10,85,A Night in Casablanca,"Loma Vista Productions, Castle Hill Productions, United Artists",1946,<1950
"Crime, Drama",fr,"FR, IT",1970-05-19,126,Borsalino,"Paramount, Marianne Productions, Adel Productions",1970,1970-1990
"Drama, Music",en,US,2007-05-16,114,Stomp the Yard,"Screen Gems, Rainforest Entertainment",2007,2000-2010
"Crime, Drama, Romance",en,"CA, FR",1980-09-03,104,Atlantic City,"Canadian Film Development Corporation (CFDC), Famous Players Limited, Selta Films, International Cinema Corporation (ICC), Cine-Neighbor",1980,1970-1990
"Animation, Family",en,US,2013-10-07,72,Barbie & Her Sisters in A Pony Tale,Universal Media Studios,2013,>2010
"Comedy, Drama, Romance",fr,FR,1990-04-04,103,A Tale of Springtime,"Les Films du Losange, Investimage, Compagnie Eric Rohmer (CER)",1990,1990-2000
"Drama, Romance, Science Fiction",en,US,2016-12-21,116,Passengers,"Wanda Pictures, Columbia Pictures, Village Roadshow Pictures, Original Film, Company Films, Start Motion Pictures, LStar Capital",2016,>2010
"Comedy, Horror",en,US,1967-12-24,81,Spider Baby,Lasky-Monka,1967,1950-1970
Drama,es,ES,2021-10-08,123,Parallel Mothers,"El Deseo, RTVE",2021,>2010
"Family, Science Fiction, Adventure",en,US,1986-07-30,90,Flight of the Navigator,"New Star Entertainment, Walt Disney Pictures, Viking Film, PSO",1986,1970-1990
"Western, Action, Drama",en,US,1970-08-12,112,Soldier Blue,"AVCO Embassy Pictures, Katzka-Loeb",1970,1970-1990
"Action, Thriller",en,US,1990-07-02,124,Die Hard 2,"Gordon Company, Silver Pictures, 20th Century Fox",1990,1990-2000
"Drama, War",en,US,1958-03-27,93,"Run Silent, Run Deep","Jeffrey Pictures Corp., Hill-Hecht-Lancaster Productions, United Artists",1958,1950-1970
Drama,en,US,2000-11-17,111,You Can Count on Me,"Crush Entertainment, Hart-Sharp Entertainment, Cappa Productions",2000,2000-2010
"Drama, Romance",ko,KR,2015-08-13,121,"Right Now, Wrong Then","Jeonwonsa Film, Next Entertainment World",2015,>2010
"Animation, Family, Comedy",en,US,2011-11-23,7,Small Fry,"Pixar, Walt Disney Pictures",2011,>2010
"Action, Adventure, Fantasy",en,US,2018-12-07,143,Aquaman,"Warner Bros. Pictures, The Safran Company, DC Films",2018,>2010
