genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
"Comedy, Romance",es,ES,2013-09-13,101,Family United,"Atípica Films, Mod Producciones, Atresmedia",2013,>2010
"Drama, Romance",es,"ES, GB, FR, US, DE",2008-09-06,92,A Matador's Mistress,,2008,2000-2010
"Drama, Romance",en,GB,2011-09-09,124,Wuthering Heights,"Ecosse Films, UK Film Council, Film4 Productions, Goldcrest, Screen Yorkshire, HanWay Films",2011,>2010
"Horror, Mystery",fr,"FR, RO",2004-06-23,98,House of Voices,"Castel Film, Eskwad, France 3 Cinéma",2004,2000-2010
"Action, Comedy, Crime, Romance",en,"MX, US",2001-03-01,123,The Mexican,"Pistolero Productions LLC, Newmarket Capital Group, Lawrence Bender Productions, DreamWorks Pictures",2001,2000-2010
Comedy,it,IT,2008-03-07,132,"Grande, grosso e Verdone",Filmauro,2008,2000-2010
"Comedy, Fantasy",en,US,1988-02-25,98,Vice Versa,Columbia Pictures,1988,1970-1990
"Thriller, Action, Drama",en,"US, BG",2017-10-27,87,Acts of Vengeance,Nu Boyana Film Studios,2017,>2010
"Comedy, Family",en,US,1994-02-11,99,My Girl 2,"Columbia Pictures, Imagine Entertainment",1994,1990-2000
"Family, Fantasy, Action, Adventure",en,US,2023-04-20,106,Peter Pan & Wendy,"Walt Disney Pictures, Whitaker Entertainment",2023,>2010
"Science Fiction, Action, Adventure, Comedy",en,US,2014-08-07,101,Teenage Mutant Ninja Turtles,"Nickelodeon Movies, Paramount, Platinum Dunes, Mirage Studios",2014,>2010
"Comedy, Family",en,US,1982-12-10,102,The Toy,"Delphi Films, Columbia Pictures, Rastar Productions",1982,1970-1990
"Horror, Comedy, Action, Science Fiction, Thriller",en,US,1999-07-15,82,Lake Placid,"Rocking Chair Productions, Fox 2000 Pictures, Phoenix Pictures, David E. Kelley Productions",1999,1990-2000
"Horror, Thriller",en,US,2020-10-16,92,Alone,"JAR Films, Martini Films",2020,>2010
"Comedy, Drama, Romance",en,US,2006-10-20,111,Catch and Release,"Relativity Media, Columbia Pictures",2006,2000-2010
"Romance, Comedy, Family, Action, Adventure",en,US,1977-06-24,105,Herbie Goes to Monte Carlo,Walt Disney Productions,1977,1970-1990
"Fantasy, Comedy, Science Fiction, Romance",en,US,1991-05-17,95,Mannequin Two: On the Move,"Gladden Entertainment, 20th Century Fox",1991,1990-2000
"Thriller, Action",en,GB,2012-09-19,90,Tower Block,Creativity Media,2012,>2010
"Family, Adventure, Science Fiction",en,US,2014-06-14,89,Earth to Echo,"Panay Films, Walt Disney Pictures",2014,>2010
Horror,en,CA,1987-10-16,97,Hello Mary Lou: Prom Night II,"Simcom Limited, Allarcom Limited, British Columbia Television, CFCN Communications, TBA Film",1987,1970-1990
Comedy,en,US,2013-04-25,90,The Big Wedding,"Millennium Films, Two Ton Films",2013,>2010
Comedy,fr,"BE, FR",2019-04-03,103,Battle of the Classes,"Karé Productions, France 2 Cinéma, UGC, Orange Studio, Chaocorp, SCOPE Pictures",2019,>2010
"Action, Thriller, Mystery, Crime, Horror",en,US,2023-01-13,85,The Price We Pay,"828 Productions, Buffalo 8, 828 Media Capital, VMI Worldwide, ABS Payroll & Production Accounting Services, Project Indie Hope",2023,>2010
"Family, Comedy",en,"GB, US",1996-11-27,103,101 Dalmatians,"Great Oaks Entertainment, Walt Disney Pictures, Wizzer Productions",1996,1990-2000
